deg_label,degraded_detections,restored_detections,degraded_confidence,restored_confidence,degraded_texts,restored_texts
dark_heavy,4,4,3.7677228807081278,3.874965210635458,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']","['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']"
dark_moderate,4,4,3.9248165776516037,3.9248165776516037,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']","['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']"
dark_mild,4,4,3.8559653746459994,3.8559653746459994,"['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']","['PIPELINE', 'DEBLURRING', 'INVERSE', 'KINEMATICS']"
mblur_severe_h,1,1,0.3618998158456179,0.3618998158456179,['1'],['1']
mblur_moderate_h,3,3,0.6428735399104325,0.6428735399104325,"['PFODE', ""=' ="", 'Zs']","['PFODE', ""=' ="", 'Zs']"
mblur_moderate_d,0,0,0,0,[],[]
mblur_mild_v,2,2,0.3190286687185789,0.3190286687185789,"[""PP'MNI"", 'INVWMW Kinimaic ']","[""PP'MNI"", 'INVWMW Kinimaic ']"
gblur_heavy,2,2,1.962148517550348,0.260383165288502,"['PIPELINE', 'INVERSE KINEMATICS']","['PipburE', '. <']"
gblur_mild,3,1,2.772234501726349,0.14138351902453758,"['PIPELINE', 'DEBLURRING', 'INVERSE KINEMATICS']",['PIPXLiNE']
combined_dark_blur,2,2,0.45320377148109386,0.7744770283428808,"['= - _ _ -', '_ - _ ` - -']","['FFEDE', 'E_== -']"
combined_moderate,0,0,0,0,[],[]
